groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	X01	X21	log2fold_21_01	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.A01.dexseq.txt	countData.A21.dexseq.txt	countData.B01.dexseq.txt	countData.B21.dexseq.txt	transcripts
ENSMUSG00000032366.15:E001	ENSMUSG00000032366.15	E001	0	NA	NA	NA	NA	NA	NA	NA	chr9	67022590	67022591	2	-	0	0	0	0	c("ENSMUST00000113707.8", "ENSMUST00000113696.7", "ENSMUST00000113705.7")
ENSMUSG00000032366.15:E002	ENSMUSG00000032366.15	E002	0	NA	NA	NA	NA	NA	NA	NA	chr9	67022592	67022592	1	-	0	0	0	0	c("ENSMUST00000113707.8", "ENSMUST00000113695.7", "ENSMUST00000113696.7", "ENSMUST00000113705.7")
ENSMUSG00000032366.15:E003	ENSMUSG00000032366.15	E003	0.227881733932027	0.661820490082687	0.653707656094056	0.418790206497499	NA	0.0203641358266395	0.532141969676779	4.70770869390607	chr9	67022593	67022605	13	-	0	1	0	0	c("ENSMUST00000113705.7", "ENSMUST00000113707.8", "ENSMUST00000113690.7", "ENSMUST00000113695.7", "ENSMUST00000034928.11", "ENSMUST00000113696.7")
ENSMUSG00000032366.15:E004	ENSMUSG00000032366.15	E004	5.39155951929992	0.0733889617664655	0.670489757347013	0.412880907451591	0.795538687636925	0.0235634307037387	2.55292711191598	6.75945893523476	chr9	67022606	67022614	9	-	0	16	0	7	c("ENSMUST00000113705.7", "ENSMUST00000113707.8", "ENSMUST00000113690.7", "ENSMUST00000129733.7", "ENSMUST00000113695.7", "ENSMUST00000034928.11", "ENSMUST00000113696.7", "ENSMUST00000113701.7")
ENSMUSG00000032366.15:E005	ENSMUSG00000032366.15	E005	7.30048747010659	0.0391905122588079	1.2159155558107	0.270163717752196	0.692340435473987	0.0235698520461938	2.96669182181055	6.97576855560799	chr9	67022615	67022621	7	-	0	20	0	11	c("ENSMUST00000113705.7", "ENSMUST00000113697.7", "ENSMUST00000113707.8", "ENSMUST00000113690.7", "ENSMUST00000129733.7", "ENSMUST00000113695.7", "ENSMUST00000034928.11", "ENSMUST00000113696.7", "ENSMUST00000113701.7")
ENSMUSG00000032366.15:E006	ENSMUSG00000032366.15	E006	7025.50702142733	0.00192432843997348	21.7526987238013	3.10153270616925e-06	0.000424095613013087	55.0851288710026	51.7669976356531	-0.08963024460359	chr9	67022622	67023441	820	-	529	14664	702	13503	c("ENSMUST00000113705.7", "ENSMUST00000113697.7", "ENSMUST00000113707.8", "ENSMUST00000113690.7", "ENSMUST00000129733.7", "ENSMUST00000113695.7", "ENSMUST00000139046.7", "ENSMUST00000034928.11", "ENSMUST00000113696.7", "ENSMUST00000113701.7")
ENSMUSG00000032366.15:E007	ENSMUSG00000032366.15	E007	375.235487305795	0.00692963394323251	25.1985799355649	5.17202662063551e-07	9.45267215205465e-05	25.9044017511444	18.8656210952678	-0.457437668236954	chr9	67023442	67024323	882	-	53	678	54	775	ENSMUST00000113690.7
ENSMUSG00000032366.15:E008	ENSMUSG00000032366.15	E008	39.8781846019516	0.0346448154256868	1.4195342023696	0.233480086283868	0.658322062174691	8.57824845143577	6.64137268092327	-0.369201643561807	chr9	67024324	67024325	2	-	2	63	7	93	c("ENSMUST00000113690.7", "ENSMUST00000113693.7")
ENSMUSG00000032366.15:E009	ENSMUSG00000032366.15	E009	128.029612081607	0.00260970615901352	0.337197254323684	0.561451504771671	0.869179710338184	12.5409145525203	11.7703194892152	-0.0914890803495762	chr9	67024326	67024565	240	-	8	258	12	257	c("ENSMUST00000113689.7", "ENSMUST00000113690.7", "ENSMUST00000113693.7")
ENSMUSG00000032366.15:E010	ENSMUSG00000032366.15	E010	30.8899796233715	0.00573534974534087	2.65038857020028	0.103524588147203	0.484144387072442	8.09810709065766	5.83975835313491	-0.471676049372862	chr9	67027892	67027965	74	-	2	63	6	58	c("ENSMUST00000050905.15", "ENSMUST00000113685.9")
ENSMUSG00000032366.15:E011	ENSMUSG00000032366.15	E011	25.2455780872667	0.00799369799269104	0.0810034860544278	0.775942095740749	0.946014289542704	5.76827927486675	5.36553373051591	-0.104419326648023	chr9	67027966	67027988	23	-	1	57	3	45	c("ENSMUST00000050905.15", "ENSMUST00000113685.9", "ENSMUST00000113686.7")
ENSMUSG00000032366.15:E012	ENSMUSG00000032366.15	E012	42.4111997043086	0.00526296493335935	0.00713606683351031	0.93267858497275	0.986871544483117	7.03813676761268	6.93784379504014	-0.020706190495999	chr9	67027989	67028047	59	-	3	94	3	78	c("ENSMUST00000050905.15", "ENSMUST00000113685.9", "ENSMUST00000113686.7", "ENSMUST00000113687.7")
ENSMUSG00000032366.15:E013	ENSMUSG00000032366.15	E013	203.114775556667	0.0501736064792561	0.61924394689521	0.431328378805462	0.805917137839966	16.5874013841871	14.5433108619653	-0.189732144638702	chr9	67028048	67028167	120	-	26	375	11	434	c("ENSMUST00000113684.7", "ENSMUST00000113685.9", "ENSMUST00000113686.7", "ENSMUST00000113687.7", "ENSMUST00000050905.15")
ENSMUSG00000032366.15:E014	ENSMUSG00000032366.15	E014	559.555203490832	0.00125179914418536	21.9014877226347	2.87011327747469e-06	0.000398618516222464	27.4086544493044	22.4913361852781	-0.285262132282092	chr9	67028848	67029663	816	-	63	1134	61	1080	ENSMUST00000030185.4
ENSMUSG00000032366.15:E015	ENSMUSG00000032366.15	E015	321.124347715243	0.00256733482168119	7.56734403339694	0.00594353040501988	0.11487808569566	21.188825486506	17.8027852456106	-0.251200651712418	chr9	67029664	67029742	79	-	31	629	34	646	c("ENSMUST00000050905.15", "ENSMUST00000113685.9", "ENSMUST00000030185.4", "ENSMUST00000113684.7")
