cluster	status	loglr	df	p	p.adjust	genes	FDR	intron	logef	0	48	deltapsi	chr	start	end	clusterID	verdict	gene	ensemblID	transcripts	constitutive.score
chr17:clu_20975_+	Success	14.8614340743243	5	1.6721421604557e-05	0.00171476878962379	Rnps1	0.00171476878962379	chr17:24414734:24415041:clu_20975_+	-0.14134406458454	0.0305922221114345	0.026725657672692	-0.00386656443874256	chr17	24414734	24415041	clu_20975_+	annotated	Rnps1	ENSMUSG00000040731.13	ENSMUST00000163717.1+ENSMUST00000234729.1+ENSMUST00000234977.1	0.6
chr17:clu_20975_+	Success	14.8614340743243	5	1.6721421604557e-05	0.00171476878962379	Rnps1	0.00171476878962379	chr17:24414734:24418038:clu_20975_+	-0.14499180773393	0.146265682563336	0.127313842217809	-0.0189518403455271	chr17	24414734	24418038	clu_20975_+	annotated	Rnps1	ENSMUSG00000040731.13	ENSMUST00000088512.12+ENSMUST00000163717.1	0.4
chr17:clu_20975_+	Success	14.8614340743243	5	1.6721421604557e-05	0.00171476878962379	Rnps1	0.00171476878962379	chr17:24414734:24418457:clu_20975_+	0.721352135004354	0.107935827315356	0.22343294056223	0.115497113246875	chr17	24414734	24418457	clu_20975_+	annotated	Rnps1	ENSMUSG00000040731.13	ENSMUST00000088512.12+ENSMUST00000115371.8+ENSMUST00000163717.1+ENSMUST00000234977.1	0.8
chr17:clu_20975_+	Success	14.8614340743243	5	1.6721421604557e-05	0.00171476878962379	Rnps1	0.00171476878962379	chr17:24415162:24418038:clu_20975_+	-0.145005420895295	0.130304030555324	0.113418818834595	-0.016885211720729	chr17	24415162	24418038	clu_20975_+	annotated	Rnps1	ENSMUSG00000041438.8	ENSMUST00000163717.1	0.2
chr17:clu_20975_+	Success	14.8614340743243	5	1.6721421604557e-05	0.00171476878962379	Rnps1	0.00171476878962379	chr17:24415162:24418457:clu_20975_+	-0.145005420895293	0.0083736365180654	0.00728855400083712	-0.00108508251722828	chr17	24415162	24418457	clu_20975_+	annotated	Rnps1	ENSMUSG00000041438.8	ENSMUST00000163717.1+ENSMUST00000234977.1	0.4
chr17:clu_20975_+	Success	14.8614340743243	5	1.6721421604557e-05	0.00171476878962379	Rnps1	0.00171476878962379	chr17:24418218:24418457:clu_20975_+	-0.145005420895296	0.576528600936484	0.501820186711837	-0.0747084142246478	chr17	24418218	24418457	clu_20975_+	annotated	Rnps1	ENSMUSG00000041438.8	ENSMUST00000088512.12+ENSMUST00000163717.1	0.4
chr17:clu_12370_-	Success	8.04406806925454	4	0.00290314981471052	0.0329090155399488	Rnps1	0.0329090155399488	chr17:24414734:24415041:clu_12370_-	0.474525926421556	0.0182080661151182	0.0338053198348215	0.0155972537197033	chr17	24414734	24415041	clu_12370_-	annotated	Rnps1	ENSMUSG00000040731.13	ENSMUST00000163717.1+ENSMUST00000234729.1+ENSMUST00000234977.1	0.6
chr17:clu_12370_-	Success	8.04406806925454	4	0.00290314981471052	0.0329090155399488	Rnps1	0.0329090155399488	chr17:24414734:24418038:clu_12370_-	-0.363458103697678	0.0937618319037455	0.0753035536084861	-0.0184582782952594	chr17	24414734	24418038	clu_12370_-	annotated	Rnps1	ENSMUSG00000040731.13	ENSMUST00000088512.12+ENSMUST00000163717.1	0.4
chr17:clu_12370_-	Success	8.04406806925454	4	0.00290314981471052	0.0329090155399488	Rnps1	0.0329090155399488	chr17:24414734:24418457:clu_12370_-	0.617172835817329	0.133082971250966	0.284966941763032	0.151883970512066	chr17	24414734	24418457	clu_12370_-	annotated	Rnps1	ENSMUSG00000040731.13	ENSMUST00000088512.12+ENSMUST00000115371.8+ENSMUST00000163717.1+ENSMUST00000234977.1	0.8
chr17:clu_12370_-	Success	8.04406806925454	4	0.00290314981471052	0.0329090155399488	Rnps1	0.0329090155399488	chr17:24415162:24418038:clu_12370_-	-0.364120222575442	0.0676712732701021	0.05431329875505	-0.0133579745150521	chr17	24415162	24418038	clu_12370_-	annotated	Rnps1	ENSMUSG00000041438.8	ENSMUST00000163717.1	0.2
chr17:clu_12370_-	Success	8.04406806925454	4	0.00290314981471052	0.0329090155399488	Rnps1	0.0329090155399488	chr17:24418218:24418457:clu_12370_-	-0.364120435965766	0.687275857460068	0.55161088603861	-0.135664971421458	chr17	24418218	24418457	clu_12370_-	annotated	Rnps1	ENSMUSG00000041438.8	ENSMUST00000088512.12+ENSMUST00000163717.1	0.4
chr7:clu_21794_-	Success	18.7025127582906	2	7.5440040234023e-09	8.49977387979098e-06	Supt5	8.49977387979099e-06	chr7:28329652:28330018:clu_21794_-	-1.46380337693928	0.588719043362936	0.284845834067621	-0.303873209295316	chr7	28329652	28330018	clu_21794_-	annotated	Supt5	ENSMUSG00000003435.9	ENSMUST00000003527.9+ENSMUST00000207563.1+ENSMUST00000208726.1+ENSMUST00000209141.1	1
chr7:clu_21794_-	Success	18.7025127582906	2	7.5440040234023e-09	8.49977387979098e-06	Supt5	8.49977387979099e-06	chr7:28329652:28330580:clu_21794_-	2.92760680761581	0.0133760810943954	0.522631873099077	0.509255792004681	chr7	28329652	28330580	clu_21794_-	novel annotated pair	Supt5	ENSMUSG00000003435.9	ENSMUST00000003527.9+ENSMUST00000207563.1+ENSMUST00000208726.1+ENSMUST00000209141.1	1
chr7:clu_21794_-	Success	18.7025127582906	2	7.5440040234023e-09	8.49977387979098e-06	Supt5	8.49977387979099e-06	chr7:28330029:28330580:clu_21794_-	-1.46380343067653	0.397904875542668	0.192522292833303	-0.205382582709366	chr7	28330029	28330580	clu_21794_-	annotated	Supt5	ENSMUSG00000003435.9	ENSMUST00000003527.9+ENSMUST00000207563.1+ENSMUST00000208726.1+ENSMUST00000209141.1	1
chr7:clu_21791_-	Success	8.27416023657975	2	0.000255022128897773	0.00846878854890055	Supt5	0.00846878854890054	chr7:28317500:28317737:clu_21791_-	-2.92374494724128	0.607403967315898	0.5958872074622	-0.0115167598536972	chr7	28317500	28317737	clu_21791_-	annotated	Supt5	ENSMUSG00000043323.17	ENSMUST00000003527.9+ENSMUST00000207563.1+ENSMUST00000207879.1+ENSMUST00000209141.1	0.8
chr7:clu_21791_-	Success	8.27416023657975	2	0.000255022128897773	0.00846878854890055	Supt5	0.00846878854890054	chr7:28317500:28318739:clu_21791_-	5.84748989448257	2.9987118503759e-06	0.0189635685104721	0.0189605697986218	chr7	28317500	28318739	clu_21791_-	annotated	Supt5	ENSMUSG00000043323.17	ENSMUST00000003527.9+ENSMUST00000207563.1+ENSMUST00000207879.1+ENSMUST00000209105.1+ENSMUST00000209141.1	1
chr7:clu_21791_-	Success	8.27416023657975	2	0.000255022128897773	0.00846878854890055	Supt5	0.00846878854890054	chr7:28317821:28318739:clu_21791_-	-2.92374494724128	0.392593033972252	0.385149224027327	-0.00744380994492461	chr7	28317821	28318739	clu_21791_-	annotated	Supt5	ENSMUSG00000038784.13	ENSMUST00000003527.9+ENSMUST00000207563.1+ENSMUST00000207879.1+ENSMUST00000209141.1	0.8
chr7:clu_25421_+	Success	5.94805424676383	2	0.00261091577702935	0.0310922052099668	Supt5	0.0310922052099668	chr7:28329652:28330018:clu_25421_+	-0.907969891003934	0.550476464264555	0.321187040893239	-0.229289423371316	chr7	28329652	28330018	clu_25421_+	annotated	Supt5	ENSMUSG00000003435.9	ENSMUST00000003527.9+ENSMUST00000207563.1+ENSMUST00000208726.1+ENSMUST00000209141.1	1
chr7:clu_25421_+	Success	5.94805424676383	2	0.00261091577702935	0.0310922052099668	Supt5	0.0310922052099668	chr7:28329652:28330580:clu_25421_+	1.32281706419401	0.0557181737429849	0.302576083467125	0.24685790972414	chr7	28329652	28330580	clu_25421_+	novel annotated pair	Supt5	ENSMUSG00000003435.9	ENSMUST00000003527.9+ENSMUST00000207563.1+ENSMUST00000208726.1+ENSMUST00000209141.1	1
chr7:clu_25421_+	Success	5.94805424676383	2	0.00261091577702935	0.0310922052099668	Supt5	0.0310922052099668	chr7:28330029:28330580:clu_25421_+	-0.414847173190077	0.39380536199246	0.376236875639637	-0.0175684863528237	chr7	28330029	28330580	clu_25421_+	annotated	Supt5	ENSMUSG00000003435.9	ENSMUST00000003527.9+ENSMUST00000207563.1+ENSMUST00000208726.1+ENSMUST00000209141.1	1
