groupID	featureID	exonBaseMean	dispersion	stat	pvalue	padj	X01	X21	log2fold_21_01	genomicData.seqnames	genomicData.start	genomicData.end	genomicData.width	genomicData.strand	countData.A01.dexseq.txt	countData.A21.dexseq.txt	countData.B01.dexseq.txt	countData.B21.dexseq.txt	transcripts
ENSMUSG00000000486.13:E030	ENSMUSG00000000486.13	E030	90.6170631822498	0.00359900275362009	252.898999987191	6.05962582729213e-57	1.04710839264427e-52	9.66292159230581	25.072539249458	1.37557675396102	chr7	127232647	127233130	484	-	90	99	80	98	ENSMUST00000205570.1
ENSMUSG00000000561.14+ENSMUSG00000074340.9+ENSMUSG00000105852.4:E044	ENSMUSG00000000561.14+ENSMUSG00000074340.9+ENSMUSG00000105852.4	E044	203.309852523133	0.00227286548161696	283.604715419807	1.23050617076736e-63	3.64512842966415e-59	27.3127570335768	12.5210616386251	-1.12521806050981	chr3	105986116	105987423	1308	+	319	51	375	53	ENSMUST00000000573.8
ENSMUSG00000018171.9+ENSMUSG00000065455.1:E009	ENSMUSG00000018171.9+ENSMUSG00000065455.1	E009	58.9127633230261	0.00453993014120246	119.49299164612	8.16834351718703e-28	4.03284733349386e-24	3.31789202801351	15.4098689383827	2.21551574822891	chr11	86586599	86586671	73	-	1	127	4	115	ENSMUST00000145846.1
ENSMUSG00000018171.9+ENSMUSG00000065455.1:E010	ENSMUSG00000018171.9+ENSMUSG00000065455.1	E010	107.42553896274	0.00309884888411911	206.657242725515	7.36525827877615e-47	7.27270153307286e-43	4.68053969213729	20.0386139259309	2.09803592530453	chr11	86586672	86586881	210	-	3	227	7	213	c("ENSMUST00000145846.1", "ENSMUST00000150176.1")
ENSMUSG00000021061.15:E001	ENSMUSG00000021061.15	E001	201.567257585323	0.00187410454375553	434.168846070366	2.01163464950522e-96	1.04283643139013e-91	10.6162801007971	27.92713039214	1.39538899889334	chr12	76580488	76583230	2743	-	35	415	35	357	ENSMUST00000021458.12
ENSMUSG00000021952.15+ENSMUSG00000021959.15:E047	ENSMUSG00000021952.15+ENSMUSG00000021959.15	E047	108.424550647839	0.00264678588621042	119.167873778067	9.62308981831227e-28	4.64058959956988e-24	9.11874798866111	19.7022788969078	1.11145485113291	chr14	57691098	57691770	673	-	20	225	20	188	c("ENSMUST00000174213.7", "ENSMUST00000022531.13")
ENSMUSG00000021952.15+ENSMUSG00000021959.15:E054	ENSMUSG00000021952.15+ENSMUSG00000021959.15	E054	51.9991341637072	0.00463626447956303	77.2599209196093	1.49876760071879e-18	2.90454157432382e-15	5.26446410874285	14.421952640848	1.4539079235249	chr14	57699297	57699890	594	-	6	103	7	101	c("ENSMUST00000173964.1", "ENSMUST00000174213.7", "ENSMUST00000022531.13", "ENSMUST00000174694.7", "ENSMUST00000173990.7")
ENSMUSG00000022105.6:E014	ENSMUSG00000022105.6	E014	91.4108666730267	0.0112889413233413	154.021885333195	2.29058319622008e-35	1.4843050692231e-31	3.75226858234157	19.4878634193672	2.37674092443463	chr14	73238546	73238754	209	-	3	228	4	151	ENSMUST00000170967.1
ENSMUSG00000022105.6:E015	ENSMUSG00000022105.6	E015	135.008352377833	0.00294590438400668	262.807086295129	4.194215539188e-59	8.69716728421564e-55	6.89480934485158	22.6642727869192	1.71683730716839	chr14	73239588	73239786	199	-	12	282	12	259	ENSMUST00000170967.1
ENSMUSG00000022483.16:E052	ENSMUSG00000022483.16	E052	26.713134576061	0.00860089693767266	74.2465204721363	6.89462380905726e-18	1.22194537407686e-14	15.466003696931	4.52163298812997	-1.77418466172166	chr15	97997312	97997389	78	-	10	33	18	48	c("ENSMUST00000133488.7", "ENSMUST00000139246.7", "ENSMUST00000023123.14", "ENSMUST00000088355.11")
ENSMUSG00000026427.16:E025	ENSMUSG00000026427.16	E025	41.5513521774665	0.00462391615881268	149.005557785803	2.85973508843231e-34	1.64721535464559e-30	4.26554940001976	16.1512135707757	1.92083909347405	chr1	131178633	131179992	1360	+	9	78	5	81	c("ENSMUST00000151874.7", "ENSMUST00000068791.10")
ENSMUSG00000028677.19:E040	ENSMUSG00000028677.19	E040	121.072250259666	0.00221554294726464	151.79957067324	7.00860399506621e-35	4.15231752291693e-31	21.0797807636432	9.61514163930201	-1.132479847598	chr4	117489589	117490234	646	-	210	26	214	25	c("ENSMUST00000030439.14", "ENSMUST00000138435.1")
ENSMUSG00000028949.13:E001	ENSMUSG00000028949.13	E001	118.266252171343	0.00446149846614611	325.367273416758	9.81347296978755e-73	3.39155261414686e-68	10.4165002890062	26.8118342814873	1.36399927620339	chr5	24590818	24592621	1804	-	66	193	65	163	ENSMUST00000144995.7
ENSMUSG00000029922.15:E020	ENSMUSG00000029922.15	E020	34.4361729782005	0.00592219639076619	67.9964960909615	1.63786323956602e-16	2.55360119714022e-13	6.78617260197498	14.8388194913132	1.12870629264046	chr6	39419840	39420067	228	-	23	44	34	39	ENSMUST00000122996.7
ENSMUSG00000030849.18+ENSMUSG00000030970.16:E002	ENSMUSG00000030849.18+ENSMUSG00000030970.16	E002	116.9889578243	0.00270308681422978	207.370764588345	5.14644445839683e-47	5.75342277956796e-43	9.2727827649674	22.4629604219739	1.27647381270555	chr7	130162512	130163607	1096	-	24	227	30	206	c("ENSMUST00000124096.7", "ENSMUST00000117872.7", "ENSMUST00000153166.7", "ENSMUST00000120187.8")
ENSMUSG00000030849.18+ENSMUSG00000030970.16:E009	ENSMUSG00000030849.18+ENSMUSG00000030970.16	E009	29.4056320940841	0.00703188944435302	70.6480736590225	4.26984429121198e-17	7.14031598443554e-14	4.05347718284252	12.4000816967065	1.61311769846888	chr7	130167703	130167808	106	-	6	62	4	51	c("ENSMUST00000124096.7", "ENSMUST00000122054.7", "ENSMUST00000153166.7", "ENSMUST00000122448.7", "ENSMUST00000121080.7", "ENSMUST00000118296.7", "ENSMUST00000120715.7", "ENSMUST00000120141.7", "ENSMUST00000117858.7", "ENSMUST00000117089.7", "ENSMUST00000136264.1", "ENSMUST00000117872.7", "ENSMUST00000121064.7", "ENSMUST00000117691.7", "ENSMUST00000117754.7", "ENSMUST00000120187.8", "ENSMUST00000117073.1", "ENSMUST00000117357.7", "ENSMUST00000119260.7", "ENSMUST00000130557.1")
ENSMUSG00000030849.18+ENSMUSG00000030970.16:E012	ENSMUSG00000030849.18+ENSMUSG00000030970.16	E012	24.0996660304517	0.00881684532935422	66.3851906507506	3.70878130664611e-16	5.49326143233888e-13	3.14488158853288	11.427655741151	1.8614518780533	chr7	130169742	130169876	135	-	2	53	4	42	c("ENSMUST00000124096.7", "ENSMUST00000122054.7", "ENSMUST00000153166.7", "ENSMUST00000122448.7", "ENSMUST00000120187.8", "ENSMUST00000118296.7", "ENSMUST00000117089.7", "ENSMUST00000121064.7", "ENSMUST00000120141.7", "ENSMUST00000117073.1", "ENSMUST00000117858.7", "ENSMUST00000121080.7", "ENSMUST00000136264.1", "ENSMUST00000117872.7", "ENSMUST00000120715.7", "ENSMUST00000117691.7", "ENSMUST00000117754.7", "ENSMUST00000129542.1", "ENSMUST00000117357.7", "ENSMUST00000119260.7")
ENSMUSG00000031134.16:E005	ENSMUSG00000031134.16	E005	121.136008899901	0.0076497921194046	98.0983508347121	3.98110267139602e-23	1.11557490681534e-19	8.28035773984034	20.1546704434214	1.28334918977875	chrX	57386362	57386915	554	-	17	221	13	253	c("ENSMUST00000114730.7", "ENSMUST00000098470.8", "ENSMUST00000114726.7")
ENSMUSG00000031134.16:E006	ENSMUSG00000031134.16	E006	116.586812392372	0.00467282210189401	101.13904029241	8.57480715957704e-24	2.65385162301053e-20	8.92193178843737	19.7318716023789	1.14509978137454	chrX	57386916	57387393	478	-	19	249	16	204	c("ENSMUST00000114730.7", "ENSMUST00000098470.8", "ENSMUST00000143310.1", "ENSMUST00000114726.7")
ENSMUSG00000031303.8:E025	ENSMUSG00000031303.8	E025	53.14351281586	0.00433974917434648	113.26062651264	1.89197207957512e-26	7.69257298809364e-23	5.39236358745406	14.2809437107974	1.40510163784705	chrX	160119510	160119723	214	+	7	119	6	91	ENSMUST00000033665.8
ENSMUSG00000031897.9:E010	ENSMUSG00000031897.9	E010	55.5813977601456	0.0131685514213374	74.7155079988086	5.43673759672868e-18	9.80319430256743e-15	18.7463401136516	7.78689324140723	-1.26748921067997	chr8	105936755	105936865	111	-	72	44	80	26	c("ENSMUST00000212938.1", "ENSMUST00000212876.1")
ENSMUSG00000032060.10:E001	ENSMUSG00000032060.10	E001	123.868860903951	0.00303387625367344	351.643170531034	1.85916658114868e-78	7.71037282867143e-74	26.8698709168285	10.5491550654119	-1.34886193974531	chr9	50751325	50751576	252	+	160	64	196	71	ENSMUST00000217475.1
