cluster	status	loglr	df	p	p.adjust	genes	FDR	intron	logef	T01	T02	deltapsi	chr	start	end	clusterID	verdict	gene	ensemblID	transcripts	constitutive.score
chr16:clu_1396	Success	20.1600399979543	2	1.75632900649395e-09	2.72055363105913e-06	Eif4a2	2.72055363105913e-06	chr16:23111896:23112351:clu_1396	0.30823371445524	0.265784890608387	0.441037602696276	0.175252712087889	chr16	23111896	23112351	clu_1396	annotated	Eif4a2	ENSMUSG00000022884.14	+	1
chr16:clu_1396	Success	20.1600399979543	2	1.75632900649395e-09	2.72055363105913e-06	Eif4a2	2.72055363105913e-06	chr16:23111896:23113167:clu_1396	-1.00865359282453	0.618640863514687	0.275085084458991	-0.343555779055696	chr16	23111896	23113167	clu_1396	annotated	Eif4a2	ENSMUSG00000022884.14	+	1
chr16:clu_1396	Success	20.1600399979543	2	1.75632900649395e-09	2.72055363105913e-06	Eif4a2	2.72055363105913e-06	chr16:23112457:23113167:clu_1396	0.700419878369286	0.115574245876926	0.283877312844733	0.168303066967807	chr16	23112457	23113167	clu_1396	annotated	Eif4a2	ENSMUSG00000022884.14	+	1
chr10:clu_1204	Success	18.4862706157746	2	9.36514876678881e-09	7.25330771987794e-06	Bclaf1	7.25330771987793e-06	chr10:20333572:20334499:clu_1204	-0.566479268424699	0.352153923885126	0.226920725452478	-0.125233198432648	chr10	20333572	20334499	clu_1204	annotated	Bclaf1	ENSMUSG00000037608.16	+	1
chr10:clu_1204	Success	18.4862706157746	2	9.36514876678881e-09	7.25330771987794e-06	Bclaf1	7.25330771987793e-06	chr10:20333572:20339709:clu_1204	1.13295932795844	0.123439198283693	0.435162565581479	0.311723367297787	chr10	20333572	20339709	clu_1204	annotated	Bclaf1	ENSMUSG00000037608.16	+	1
chr10:clu_1204	Success	18.4862706157746	2	9.36514876678881e-09	7.25330771987794e-06	Bclaf1	7.25330771987793e-06	chr10:20334645:20339709:clu_1204	-0.566480059533736	0.524406877831181	0.337916708966043	-0.186490168865138	chr10	20334645	20339709	clu_1204	annotated	Bclaf1	ENSMUSG00000037608.16	+	1
chr15:clu_1488	Success	23.0373521882302	6	2.86087786143497e-08	1.10787495184069e-05	Tarbp2	1.10787495184069e-05	chr15:102518602:102519122:clu_1488	-0.472001407835122	0.229425377645367	0.259707948959726	0.0302825713143592	chr15	102518602	102519122	clu_1488	annotated	Tarbp2	ENSMUSG00000023051.10	+	1
chr15:clu_1488	Success	23.0373521882302	6	2.86087786143497e-08	1.10787495184069e-05	Tarbp2	1.10787495184069e-05	chr15:102518602:102520475:clu_1488	2.42920073543213	0.00336756993638282	0.0693643774205647	0.0659968074841819	chr15	102518602	102520475	clu_1488	annotated	Tarbp2	ENSMUSG00000023051.10	+	1
chr15:clu_1488	Success	23.0373521882302	6	2.86087786143497e-08	1.10787495184069e-05	Tarbp2	1.10787495184069e-05	chr15:102518602:102521121:clu_1488	0.723637145510113	0.0195332731651191	0.0730933786021828	0.0535601054370637	chr15	102518602	102521121	clu_1488	annotated	Tarbp2	ENSMUSG00000023051.10	+	1
chr15:clu_1488	Success	23.0373521882302	6	2.86087786143497e-08	1.10787495184069e-05	Tarbp2	1.10787495184069e-05	chr15:102518844:102519122:clu_1488	-1.88487291609002	0.216870425213424	0.0597642974343589	-0.157106127779066	chr15	102518844	102519122	clu_1488	annotated	Tarbp2	ENSMUSG00000023051.10	+	1
chr15:clu_1488	Success	23.0373521882302	6	2.86087786143497e-08	1.10787495184069e-05	Tarbp2	1.10787495184069e-05	chr15:102519291:102520475:clu_1488	-0.743341978537763	0.261176303767914	0.225390624010174	-0.0357856797577395	chr15	102519291	102520475	clu_1488	annotated	Tarbp2	ENSMUSG00000023051.10	+	1
chr15:clu_1488	Success	23.0373521882302	6	2.86087786143497e-08	1.10787495184069e-05	Tarbp2	1.10787495184069e-05	chr15:102519291:102521121:clu_1488	0.632288969710847	0.0263936296796336	0.0901426089587478	0.0637489792791142	chr15	102519291	102521121	clu_1488	annotated	Tarbp2	ENSMUSG00000023051.10	+	1
chr15:clu_1488	Success	23.0373521882302	6	2.86087786143497e-08	1.10787495184069e-05	Tarbp2	1.10787495184069e-05	chr15:102520577:102521121:clu_1488	-0.684910548190188	0.243233420592159	0.222536764614246	-0.0206966559779138	chr15	102520577	102521121	clu_1488	annotated	Tarbp2	ENSMUSG00000023051.10	+	1
chr17:clu_1281	Success	20.5731552976076	4	2.50672013071716e-08	1.10787495184069e-05	Rnps1	1.10787495184069e-05	chr17:24414734:24415041:clu_1281	-0.0730229066717763	0.114580880419044	0.114072819082635	-0.00050806133640921	chr17	24414734	24415041	clu_1281	annotated	Rnps1	ENSMUSG00000034681.16	+	1
chr17:clu_1281	Success	20.5731552976076	4	2.50672013071716e-08	1.10787495184069e-05	Rnps1	1.10787495184069e-05	chr17:24414734:24418038:clu_1281	-0.288771796019791	0.194738244852616	0.156250968799177	-0.0384872760534388	chr17	24414734	24418038	clu_1281	annotated	Rnps1	ENSMUSG00000034681.16	+	1
chr17:clu_1281	Success	20.5731552976076	4	2.50672013071716e-08	1.10787495184069e-05	Rnps1	1.10787495184069e-05	chr17:24414734:24418457:clu_1281	0.939766710352825	0.0905771700632514	0.248277697521624	0.157700527458372	chr17	24414734	24418457	clu_1281	annotated	Rnps1	ENSMUSG00000034681.16	+	1
