ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
29728	"ENSMUSG00000001247.16"	"Lsr"	chr7	-	30958974	30959034	30958749	30958881	30959152	30959314	29728	128,189	0,0	366,409	0,1	159	99	1	1.0	1.0,1.0	1.0,0.996	0.002
29729	"ENSMUSG00000001247.16"	"Lsr"	chr7	-	30962097	30962244	30959152	30959314	30965968	30966088	29729	246,247	4,1	575,427	16,4	198	99	0.0660500053907	0.4263598596726431	0.969,0.992	0.947,0.982	0.016
29730	"ENSMUSG00000001247.16"	"Lsr"	chr7	-	30962810	30962867	30962097	30962244	30965968	30966088	29730	56,64	73,67	51,58	246,191	156	99	1.26882060414e-10	2.057975581241939e-08	0.327,0.377	0.116,0.162	0.213
29731	"ENSMUSG00000001247.16"	"Lsr"	chr7	-	30965968	30966088	30959152	30959314	30971867	30972212	29731	88,114	1,0	222,207	7,1	198	99	0.0533202112768	0.3648664970637355	0.978,1.0	0.941,0.99	0.023
29732	"ENSMUSG00000001247.16"	"Lsr"	chr7	-	30965968	30966088	30962810	30962867	30971867	30972212	29732	109,153	0,1	231,236	0,0	198	99	1	1.0	1.0,0.987	1.0,1.0	-0.006
29733	"ENSMUSG00000001247.16"	"Lsr"	chr7	-	30971867	30972212	30965968	30966088	30973079	30973322	29733	182,186	0,0	359,339	0,1	198	99	1	1.0	1.0,1.0	1.0,0.994	0.003
25106	"ENSMUSG00000005687.14"	"Bcas2"	chr3	+	103175618	103175669	103174339	103174501	103177338	103177419	25106	1651,1590	10,4	1695,1846	31,19	150	99	0.000491772148608	0.009853915214803872	0.991,0.996	0.973,0.985	0.015
24024	"ENSMUSG00000037266.18"	"Rsrp1"	chr4	+	134925776	134925821	134925292	134925432	134926025	134926818	24024	17,23	17,16	29,24	15,22	144	99	0.623501523227	1.0	0.407,0.497	0.571,0.429	-0.048
24025	"ENSMUSG00000037266.18"	"Rsrp1"	chr4	+	134925776	134925821	134925292	134925432	134926734	134926818	24025	8,11	118,174	33,26	188,198	144	99	0.00136820082274	0.0223122695311642	0.045,0.042	0.108,0.083	-0.052
2389	"ENSMUSG00000002274.13"	"Metrn"	chr17	-	25795373	25795433	25793220	25795291	25796240	25796349	2389	154,201	1,0	154,167	2,5	159	99	0.0765482913554	0.4742043184480973	0.99,1.0	0.98,0.954	0.028
2390	"ENSMUSG00000002274.13"	"Metrn"	chr17	-	25796085	25796641	25795373	25795433	25796864	25797055	2390	129,112	2,2	92,103	0,0	198	99	0.821383882211	1.0	0.97,0.966	1.0,1.0	-0.032
2391	"ENSMUSG00000002274.13"	"Metrn"	chr17	-	25796240	25796349	25794866	25795433	25796864	25796968	2391	104,127	2,2	125,108	0,0	198	99	0.728737564625	1.0	0.963,0.969	1.0,1.0	-0.034
2392	"ENSMUSG00000002274.13"	"Metrn"	chr17	-	25796240	25796641	25795373	25795433	25796864	25796976	2392	206,219	2,2	196,196	0,0	198	99	0.539649009211	1.0	0.981,0.982	1.0,1.0	-0.018
33272	"ENSMUSG00000014856.12"	"Tmem208"	chr8	+	105328607	105328692	105328321	105328458	105328771	105329055	33272	260,259	0,3	390,439	3,11	184	99	0.0298318189982	0.23425345601955871	1.0,0.979	0.986,0.956	0.019
33273	"ENSMUSG00000014856.12"	"Tmem208"	chr8	+	105328607	105328692	105328321	105328484	105328771	105329055	33273	196,188	0,1	251,297	0,1	184	99	1	1.0	1.0,0.99	1.0,0.994	-0.002
